Word             Count
knelt            1    
tiny             3    
again            28   
walked           6    
tunnel           1    
under            10   
rabbithole       2    
late             4    
think            17   
suddenly         8    
as               81   
verdict          2    
mile             2    
twelve           1    
King             23   
fond             1    
flat             1    
Seven            1    
rosetree         2    
Nor              1    
remarked         1    
saucepans        1    
smoke            1    
pieces           2    
succeeded        2    
stalk            1    
unpleasant       1    
height           4    
suppose          2    
crowd            3    
otherBill        1    
hold             1    
magic            1    
lookingglass     1    
pairs            1    
mentioned        1    
joined           1    
nonsense         2    
Mine             1    
panting          1    
explain          2    
Caucusrace       2    
Edgar            1    
worm             1    
crossly          1    
person           1    
clinging         1    
fur              2    
whole            6    
kills            1    
chatte           1    
Perhaps          1    
slipped          2    
skurried         1    
distance         3    
curiouser        1    
surprised        4    
tears            3    
generally        3    
longed           1    
golden           6    
sight            3    
cupboards        2    
another          9    
In               6    
at               69   
Oh               15   
say              12   
White            15   
daisychain       1    
considering      1    
use              4    
of               194  
purple           1    
signed           2    
verses           2    
toto             1    
proper           1    
uneasily         1    
spot             1    
soldier          1    
frowning         1    
Tis              1    
excellent        1    
mallets          1    
Can              1    
faces            1    
Five             2    
busily           1    
leading          1    
teaparty         1    
asleep           2    
dish             2    
constant         1    
Footman          2    
stop             1    
dive             1    
VADVICE          1    
hookah           3    
blue             1    
grass            2    
shower           2    
window           7    
engraved         1    
neat             1    
Its              4    
cunning          1    
usurpation       1    
Sit              1    
LONG             1    
several          2    
Mad              1    
trembling        4    
harm             1    
measure          1    
go               22   
sir              6    
please           8    
cry              3    
who              16   
largest          1    
awhile           2    
poison           3    
telescope        3    
inches           5    
how              8    
Dinah            5    
just             17   
never            10   
getting          7    
mind             6    
very             39   
scream           1    
upsetting        1    
Give             2    
summer           1    
trumpet          3    
pardoned         1    
flamingo         2    
double           1    
HEARTS           1    
wide             1    
invited          1    
seeing           1    
queershaped      1    
soup             3    
loudly           3    
wits             1    
crouched         1    
gone             5    
oh               1    
state            1    
sternly          1    
help             2    
pressing         1    
home             2    
Yes              2    
looking          11   
hateC            1    
finger           1    
adjourn          1    
Canterbury       1    
A                6    
shore            2    
angry            3    
soothing         1    
perhaps          1    
Not              2    
feelings         1    
swimming         2    
narrow           1    
today            2    
waiting          4    
white            7    
good             8    
reach            3    
And              16   
taste            2    
opened           6    
lock             1    
dry              6    
else             3    
pop              1    
hurried          5    
did              12   
nor              2    
stupid           1    
in               155  
saves            1    
clapping         1    
nervous          1    
blew             2    
playing          1    
tis              2    
eager            1    
Taking           1    
riddlesI         1    
Dormouse         6    
mad              3    
caught           2    
flinging         1    
CheshireCats     1    
withina          1    
inside           1    
rapped           1    
footman          2    
strange          2    
stretched        2    
knowNo           1    
happen           1    
business         3    
yer              2    
Presently        1    
times            2    
floor            2    
Thats            5    
completely       1    
lowspirited      1    
Canary           1    
quicker          1    
Mouses           1    
begged           1    
remedies         1    
seem             3    
spoke            5    
wet              2    
history          2    
tail             3    
child            2    
frightened       3    
queer            1    
wont             6    
heard            17   
nine             3    
shoes            1    
can              8    
advise           1    
sort             5    
second           2    
other            20   
overhead         1    
field            1    
its              31   
sister           5    
whilst           1    
Nothing          1    
crossexamine     1    
jurybox          2    
thunderstorm     1    
prison           1    
roared           1    
guests           1    
diamonds         1    
CROQUET          1    
stupidest        1    
sigh             1    
yards            1    
trot             1    
turn             1    
grins            1    
livery           2    
lives            3    
place            1    
carefully        1    
settled          3    
does             1    
trees            4    
hurrya           1    
heads            3    
thoughtfully     1    
Digging          1    
trembled         1    
being            2    
By               2    
story            1    
comfits          2    
Prizes           2    
give             3    
asking           3    
left             6    
meet             2    
cats             7    
water            1    
lessonbook       1    
nearer           1    
rapidly          2    
lying            4    
legs             2    
lovely           2    
must             14   
ventured         2    
begin            3    
those            8    
than             8    
larger           5    
ears             2    
felt             7    
remember         3    
coming           4    
not              39   
burning          1    
seen             3    
flashed          1    
way              20   
a                265  
book             4    
having           3    
and              315  
neednt           1    
dead             2    
Imagine          1    
TARTS            1    
warning          1    
fighting         1    
ridges           1    
smiled           1    
themselves       3    
entrance         1    
piece            4    
instantly        2    
CheshirePuss     1    
relieved         1    
kill             1    
Even             1    
cook             7    
FishFootman      2    
bringing         1    
angrily          1    
Is               1    
because          3    
FROM             1    
taking           1    
delighted        2    
squeaking        1    
scrambling       1    
waited           3    
sounds           2    
pressed          2    
drunk            1    
shook            3    
death            1    
jury             4    
D                1    
house            12   
hated            1    
We               3    
yet              6    
quiver           1    
talk             6    
existence        1    
thats            3    
violently        3    
kidgloves        5    
pair             4    
struck           2    
Now              5    
EAT              1    
custard          1    
printed          1    
curtain          1    
rate             6    
low              11   
hope             3    
plenty           2    
looked           18   
too              9    
without          7    
adventures       1    
EVIDENCE         1    
IXWHO            1    
company          1    
isTake           1    
digging          1    
croqueting       1    
played           1    
Whats            1    
changes          1    
aIm              2    
chinit           1    
unfolded         2    
CATERPILLAR      1    
cakes            3    
spread           2    
Then             8    
Run              1    
footsteps        2    
On               2    
both             3    
prizes           3    
continued        2    
advisable        2    
archbishop       2    
natural          1    
dogs             3    
fondofof         1    
splashing        1    
fan              9    
top              4    
severely         3    
cried            11   
climb            1    
face             9    
No               6    
cool             2    
led              4    
trying           6    
milk             1    
It               17   
Either           1    
started          2    
much             13   
whether          4    
pictures         3    
nothing          12   
by               22   
Stuff            1    
fortytwo         1    
exclaimed        1    
carried          1    
sensationshe     1    
Fourteenth       1    
Itsits           1    
Exactly          1    
fast             1    
Cat              6    
terror           1    
dishes           1    
howling          3    
extraordinary    1    
staring          1    
PEPPER           1    
girl             2    
wriggling        1    
Pigeon           6    
beating          1    
flown            1    
draw             1    
smoking          1    
tucked           3    
goes             2    
honor            2    
inwards          1    
Fetch            1    
Still            1    
vanished         2    
nowhere          1    
speaking         1    
calling          1    
asked            4    
won              2    
frog             2    
whose            1    
feathers         1    
we               4    
Are              3    
Our              1    
dried            1    
best             5    
now              19   
feeling          1    
even             3    
bright           4    
fitted           1    
them             30   
table            14   
whiskers         2    
leaves           4    
Dinahll          1    
passed           1    
First            5    
own              2    
is               36   
reading          2    
dream            2    
Sentence         1    
XALICES          1    
stole            1    
All              3    
whispered        1    
shouting         2    
Your             5    
cushion          1    
royal            1    
breathe          2    
saythats         1    
guess            1    
March            9    
grunted          2    
blows            1    
CheshireCat      3    
producing        1    
shouldnt         1    
pleasing         1    
each             3    
ought            5    
feeble           1    
shrieks          1    
snatch           2    
broken           4    
ceiling          1    
finish           1    
insult           1    
liked            2    
whats            2    
authority        1    
queerlooking     1    
Mouse            21   
Everything       1    
That             3    
save             2    
IITHE            1    
plainly          1    
certainly        4    
back             15   
wander           1    
doors            2    
end              6    
pegs             1    
time             21   
either           7    
then             25   
no               22   
it               151  
on               62   
prisoner         1    
teacup           3    
refreshments     1    
beasts           1    
hedgehogs        2    
live             2    
furrows          1    
thunder          1    
politely         1    
weary            1    
remark           1    
jumping          2    
throwing         1    
grin             1    
ear              3    
stirring         1    
threelegged      1    
FrogFootman      1    
tree             4    
wings            1    
pigeon           1    
length           1    
gravely          1    
confusing        1    
Jackinthebox     1    
ye               1    
choke            1    
scratching       1    
knocking         2    
fetch            1    
LITTLE           1    
sad              2    
patted           1    
exactly          2    
handed           2    
Why              8    
believe          3    
notice           4    
Morcar           1    
conquest         1    
ring             2    
andoh            1    
Tea              1    
family           1    
quiet            1    
our              6    
are              16   
world            4    
morning          3    
Goodby           1    
currants         1    
quite            19   
When             6    
toffy            1    
head             14   
first            15   
round            17   
hanging          1    
Away             1    
still            3    
long             11   
cat              6    
shelves          1    
conversations    2    
RABBITHOLE       1    
atom             1    
Consider         1    
cannot           1    
isOh             1    
Off              5    
Shes             1    
Majesty          5    
opposite         1    
procession       2    
crimson          1    
crown            2    
watching         1    
GROUND           1    
unlocked         1    
front            2    
reasons          1    
curls            1    
invitation       2    
fishand          1    
brought          1    
sky              2    
closely          1    
addressed        1    
pebbles          2    
sound            2    
pulling          1    
Luckily          1    
stood            5    
ferrets          2    
Such             1    
immediate        1    
solemnly         1    
wanted           1    
uncomfortable    1    
bankthe          1    
tell             9    
softly           1    
called           10   
sentence         4    
mouse            5    
sea              2    
sudden           3    
shrinking        4    
everything       2    
far              4    
your             16   
roast            1    
idea             7    
wondering        1    
all              58   
saucer           1    
Would            4    
maps             1    
falling          1    
large            22   
curiosity        1    
I                127  
that             93   
disappeared      1    
hers             2    
quarrel          1    
shouted          4    
grand            1    
corners          1    
threw            1    
Two              2    
tea              3    
leaning          1    
timidly          4    
From             1    
serpents         2    
taller           2    
wretched         1    
hardly           3    
Last             1    
general          2    
drew             2    
hearing          2    
RabbitsPat       1    
Some             1    
easy             2    
accustomed       1    
cross            1    
assembled        2    
IIIA             1    
creatures        3    
why              7    
dog              1    
bristling        1    
pardon           3    
fright           2    
something        10   
change           4    
usual            2    
away             15   
pattering        3    
POOL             1    
anxiously        5    
ate              1    
eat              6    
Well             7    
cake             2    
scolded          1    
seldom           1    
What             11   
open             4    
ever             7    
row              1    
wind             1    
MARMALADE        1    
hung             1    
stopping         1    
out              52   
pink             1    
when             31   
So               9    
told             1    
fluttered        1    
firstverdict     1    
consider         1    
write            1    
placesall        1    
fumbled          1    
To               1    
games            1    
opportunity      1    
passion          1    
cards            3    
afore            1    
red              2    
QUEENS           1    
Hearts           6    
alarm            1    
babythe          1    
knocked          1    
frighten         1    
indignantly      2    
rise             1    
anger            2    
swallowing       1    
arms             5    
edge             2    
above            1    
whispers         1    
apples           1    
voicethe         1    
concluded        1    
outside          2    
full             4    
Ann              4    
hunting          1    
executed         2    
shes             1    
wasting          2    
apiece           1    
luckily          1    
confused         1    
meaning          3    
crownHow         1    
patriotic        1    
CAUCUSRACE       1    
Dont             1    
such             11   
afraid           6    
outoftheway      1    
growing          8    
leave            4    
possibly         2    
more             23   
toast            1    
finding          2    
people           5    
rules            2    
hoping           1    
every            3    
jumped           2    
off              26   
tonight          1    
put              9    
were             32   
trouble          4    
would            12   
or               34   
beginning        4    
THE              4    
cares            1    
prove            1    
tipped           1    
watched          1    
man              2    
accusation       1    
standing         1    
pleasant         1    
balls            1    
croquetground    2    
recognized       1    
roses            2    
havent           2    
Hatter           11   
reply            2    
loud             1    
Whoever          1    
entangled        2    
curving          1    
blow             1    
circumstances    1    
affectionately   2    
better           3    
shriek           2    
RABBIT           2    
pulled           1    
pocket           2    
has              3    
leaders          1    
pope             1    
air              5    
enough           5    
last             15   
familiarly       1    
draggled         1    
two              13   
hands            6    
kept             6    
hastily          8    
until            3    
deal             5    
rather           10   
decided          1    
turkey           1    
cherrytart       1    
DRINK            1    
shutting         2    
However          6    
door             23   
came             25   
from             16   
some             19   
so               30   
well             16   
what             24   
lap              1    
grown            1    
dismay           1    
jurors           1    
court            7    
forget           1    
hedgehog         3    
fairly           1    
hearts           1    
nose             1    
Visit            1    
nurse            1    
fireirons        1    
needs            1    
wasnt            1    
banks            1    
Serpent          2    
easily           1    
mouth            3    
bearWhos         1    
many             3    
attempt          1    
till             6    
stopped          2    
grew             1    
kneel            1    
itll             2    
hadnt            1    
alone            2    
judge            3    
You              12   
ones             1    
placed           1    
submitted        1    
Silence          2    
known            1    
conversation     2    
offended         5    
Her              2    
fanning          1    
dears            2    
dont             14   
creep            1    
indeed           5    
knew             2    
delight          1    
fifteen          1    
longer           1    
drop             1    
jar              2    
look             4    
see              19   
itself           4    
made             11   
to               246  
Rule             1    
emphasis         1    
proceed          1    
miserable        1    
tarts            4    
Lets             1    
love             2    
dreadfully       2    
players          3    
Get              1    
Hush             2    
My               1    
painting         2    
TEAPARTY         1    
already          1    
play             6    
untwist          1    
matters          1    
doubtfully       1    
crawled          1    
sizes            1    
swallowed        1    
Will             1    
reason           2    
however          2    
added            8    
racecourse       1    
melancholy       1    
him              5    
Party            1    
tone             11   
glad             3    
question         8    
slippery         1    
After            6    
This             8    
roof             3    
behind           3    
hurrying         1    
thump            2    
Down             1    
She              36   
eyes             10   
daisies          1    
day              7    
flying           1    
weve             1    
Nearly           1    
blasts           2    
except           1    
choice           2    
keeping          1    
alive            1    
beheading        1    
ornamented       2    
flowerbeds       1    
begun            1    
less             2    
creature         3    
plates           1    
alternately      1    
caldron          2    
kettle           1    
bowed            2    
number           1    
Theres           5    
hiss             1    
serpent          4    
green            1    
violent          1    
yourself         1    
blades           1    
around           1    
silence          4    
crash            2    
become           1    
uncorked         1    
doing            3    
Mary             4    
Nobody           2    
bend             2    
fifth            1    
old              1    
voices           2    
running          4    
move             1    
Ahem             1    
really           3    
fancy            1    
O                3    
speed            1    
cause            3    
Ah               2    
darkness         1    
Which            2    
makes            4    
Ill              13   
words            6    
through          8    
along            4    
corner           3    
bit              9    
you              90   
empty            1    
disappointment   1    
bookshelves      1    
The              52   
up               41   
be               38   
her              107  
Read             1    
Pepper           1    
shifting         1    
Call             2    
fight            1    
appearance       1    
anyone           1    
short            1    
quarrelling      1    
game             3    
boxed            1    
execution        2    
evidently        1    
mostly           2    
chanced          1    
VIIITHE          1    
pig              2    
grinning         1    
sneeze           1    
underneath       1    
usedand          1    
languid          1    
mushroom         7    
barrowful        2    
headBrandy       1    
voicesHold       1    
aloneCatch       1    
ladder           1    
arm              9    
lips             1    
lest             1    
since            3    
seeneverything   1    
sensation        1    
thinking         4    
condemn          1    
whisper          1    
confusion        4    
One              3    
Speak            1    
energetic        1    
offer            1    
They             4    
party            5    
likely           1    
swam             3    
somehow          1    
foot             7    
worse            1    
Dear             1    
will             7    
bring            1    
followed         5    
advice           1    
flavor           1    
beautifully      2    
bottle           8    
flowers          2    
among            9    
this             43   
been             11   
passage          4    
my               18   
past             1    
down             50   
after            10   
she              201  
sitting          6    
get              19   
rose             1    
pepperbox        1    
guard            1    
Knave            6    
answers          1    
moments          1    
occasionally     1    
stool            1    
croquet          6    
yoursI           1    
taken            1    
broke            1    
upright          1    
changing         1    
different        1    
wood             6    
thick            1    
effect           2    
saying           2    
upstairs         1    
BILL             1    
SENDS            1    
try              3    
denial           1    
race             2    
replied          6    
driest           1    
dripping         1    
commotion        1    
sorrowful        1    
didnt            4    
animals          5    
wink             1    
splash           1    
Things           1    
altogether       1    
Rabbits          2    
trotting         2    
stockings        1    
hand             10   
holding          2    
care             3    
sharply          1    
theres           6    
letters          1    
half             10   
which            19   
dozing           1    
great            19   
across           5    
ran              10   
picking          1    
thought          20   
the              572  
wonderful        1    
beat             1    
read             5    
Herald           1    
minding          1    
QUEEN            1    
Miss             2    
waving           2    
itit             1    
pepper           1    
kitchen          2    
nest             1    
Youre            4    
zigzag           1    
want             3    
presentat        1    
folded           2    
master           1    
Bills            1    
Wheres           2    
tidy             1    
finds            1    
With             1    
call             2    
choked           1    
adoption         1    
rising           1    
case             1    
means            3    
Ugh              2    
few              3    
birds            7    
us               3    
rats             1    
dare             1    
puzzle           1    
Ive              10   
pool             7    
speak            2    
sometimes        3    
crying           1    
going            12   
certain          2    
one              32   
they             32   
noticed          6    
slowly           4    
shall            3    
dear             13   
feel             2    
into             39   
bank             2    
encourage        1    
themall          1    
Trials           1    
meant            2    
carrying         2    
teapot           1    
earnestly        1    
riddles          1    
slightest        1    
Youll            1    
bough            1    
grinned          2    
VIPIG            1    
held             2    
matter           1    
Id               1    
righthand        1    
aloud            2    
temper           2    
surprise         3    
nowall           1    
Pat              2    
paws             1    
Everybody        1    
Northumbria      1    
Mercia           1    
Earls            1    
Edwin            1    
favored          1    
ready            2    
minutes          4    
Let              4    
doesnt           3    
saltwater        2    
things           3    
He               4    
reaching         1    
against          5    
TEARS            1    
eye              2    
size             10   
buttered         1    
doorway          1    
fountains        2    
loveliest        1    
Alices           6    
middle           4    
wish             8    
labeled          1    
actually         1    
list             1    
instead          1    
follows          1    
word             1    
Duchesss         2    
Somebody         1    
helpless         1    
peeping          1    
picked           2    
Hare             8    
baby             5    
nursing          1    
stupidly         1    
solemn           2    
knuckles         1    
judging          1    
four             1    
hedges           1    
merely           1    
rearing          1    
Three            1    
youre            4    
seebeing         1    
appeared         1    
directly         1    
thank            1    
cartwheels       1    
rumbling         1    
fancied          1    
failure          1    
fear             1    
plate            1    
his              17   
changed          3    
Shell            1    
IVTHE            1    
law              1    
despair          1    
hurriedly        2    
Stigand          1    
TALE             1    
Eaglet           2    
crowded          4    
shrill           2    
voice            21   
himself          1    
fact             4    
English          4    
forgotten        2    
beds             1    
little           58   
over             14   
heap             1    
miss             1    
ORANGE           1    
filled           1    
make             8    
deep             2    
There            15   
close            6    
with             66   
worth            1    
afterwards       1    
notebook         1    
evidence         4    
wore             1    
scroll           1    
everybody        1    
engaged          1    
Theyre           1    
pack             4    
Queens           2    
gardeners        2    
poured           1    
writingdesk      1    
murder           1    
difficulty       2    
secondly         1    
ground           2    
An               2    
shoulders        1    
shorter          2    
safe             1    
hit              2    
comes            2    
nowDont          1    
chimneyNay       1    
Sure             2    
Next             2    
possible         1    
Alas             1    
stoop            1    
Before           1    
room             7    
eagerly          1    
pretexts         1    
Said             1    
sighing          1    
theirs           1    
meeting          1    
turning          6    
listen           2    
consultation     1    
youll            1    
For              5    
let              1    
escape           3    
he               18   
hard             5    
If               5    
timid            2    
wonder           6    
Soon             1    
though           2    
mixed            1    
nice             2    
garden           13   
teatime          1    
should           10   
fall             4    
herself          33   
watch            2    
took             13   
pleasure         1    
could            28   
IDOWN            1    
brushing         1    
isnt             1    
throne           1    
somebody         2    
tumbling         1    
between          1    
directions       2    
letter           3    
II               1    
lay              2    
moving           1    
animal           1    
together         5    
proved           1    
prosecute        1    
met              2    
answer           3    
hour             2    
three            8    
circle           1    
life             3    
catsnasty        1    
ma               1    
fallen           3    
am               6    
yesterday        1    
gloves           5    
dressed          1    
Poor             2    
myself           4    
later            1    
disagree         1    
almost           1    
drink            3    
ME               2    
paper            3    
high             14   
locked           1    
talking          7    
there            15   
sides            2    
anything         6    
tried            8    
went             25   
moment           17   
hear             6    
remarkable       2    
Rabbit           28   
tired            4    
honest           1    
speaker          1    
parchmentscroll  1    
wig              1    
tremble          1    
stamping         2    
KING             1    
clubs            1    
sleep            4    
VIIA             1    
startled         2    
may              3    
sneezing         4    
theyre           4    
venture          1    
nibbling         2    
roots            1    
below            2    
swallow          1    
mean             5    
least            3    
Bill             3    
cucumberframe    1    
elbow            1    
W                1    
Where            3    
sure             4    
various          1    
humbly           1    
promised         1    
shiver           1    
course           6    
name             6    
vulgar           1    
always           2    
know             20   
these            5    
while            5    
next             12   
hopeless         1    
forgot           2    
remained         2    
grow             8    
happened         2    
ten              5    
neck             5    
find             13   
if               22   
said             143  
small            7    
alas             3    
might            7    
hall             8    
sticks           1    
soon             13   
an               16   
managed          2    
seemed           11   
before           11   
for              43   
peeped           3    
tongue           1    
miles            1    
persons          1    
jurymen          2    
fair             1    
oneself          1    
stand            1    
fine             1    
Kings            2    
Trial            1    
riddle           1    
Have             1    
farther          1    
paw              2    
branches         1    
sulky            1    
remembered       2    
highest          1    
night            1    
hatching         1    
free             2    
lefthand         2    
morsel           1    
kick             1    
youve            2    
says             1    
Here             5    
swim             1    
attending        1    
Found            2    
hate             1    
pale             2    
leap             1    
Conqueror        2    
French           2    
wept             1    
chin             3    
shedding         1    
minute           7    
Come             7    
sat              5    
thing            17   
poor             8    
curious          7    
pineapple        1    
marked           5    
any              14   
glass            8    
turned           7    
theyll           2    
dark             3    
rabbit           1    
sleepy           2    
Alice            162  
gently           1    
knee             1    
unrolled         1    
arrived          1    
custody          1    
moral            2    
where            1    
speakand         1    
complaining      1    
soldiers         3    
Take             2    
armchair         1    
Wouldnt          1    
impossible       1    
within           1    
gardenhow        1    
raising          1    
particular       2    
Keep             1    
shyly            1    
Caterpillar      12   
smallest         1    
rattling         1    
chimney          4    
enoughI          1    
brass            1    
housemaid        1    
Quick            1    
goodnaturedly    1    
lonely           1    
moved            2    
bed              1    
walking          2    
puzzling         1    
caused           2    
Do               3    
youd             3    
show             2    
passionate       1    
William          3    
inquisitively    1    
Was              1    
Duchess          20   
OF               2    
box              2    
gave             5    
telescopes       1    
key              9    
solid            1    
lit              1    
began            19   
fell             5    
about            33   
hedge            2    
But              8    
Once             2    
